movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres
1077,journey to the center of the earth,Eric Brevig,Josh Hutcherson,Brendan Fraser,Anita Briem,Action Adventure Family Fantasy Sci-Fi
1078,the princess diaries 2: royal engagement,Garry Marshall,Anne Hathaway,Raven-Symoné,Hector Elizondo,Comedy Family Romance
1079,the pelican brief,Alan J. Pakula,Denzel Washington,Julia Roberts,Tony Goldwyn,Crime Drama Mystery Thriller
1080,the client,Joel Schumacher,Bradley Whitford,Anthony LaPaglia,Brad Renfro,Crime Drama Mystery Thriller
1081,the bucket list,Rob Reiner,Morgan Freeman,Noel Gugliemi,Sean Hayes,Adventure Comedy Drama
1082,patriot games,Phillip Noyce,Harrison Ford,Polly Walker,Patrick Bergin,Action Thriller
1083,monster-in-law,Robert Luketic,Adam Scott,Jane Fonda,Elaine Stritch,Comedy Romance
1084,prisoners,Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal,Dylan Minnette,Crime Drama Mystery Thriller
1085,training day,Antoine Fuqua,Denzel Washington,Snoop Dogg,Tom Berenger,Crime Drama Thriller
1086,galaxy quest,Dean Parisot,Alan Rickman,Enrico Colantoni,Robin Sachs,Adventure Comedy Sci-Fi
1087,scary movie 2,Keenen Ivory Wayans,Natasha Lyonne,Veronica Cartwright,Andy Richter,Comedy
1088,the muppets,James Bobin,Bill Cobbs,Eric Jacobson,Steve Whitmire,Adventure Comedy Family Musical
1089,blade,Stephen Norrington,Sanaa Lathan,Traci Lords,Udo Kier,Action Horror
1090,coach carter,Thomas Carter,Channing Tatum,Rick Gonzalez,Robert Ri'chard,Drama Sport
1091,changing lanes,Roger Michell,Sydney Pollack,Matt Malloy,Bruce Altman,Drama Thriller
1092,anaconda,Luis Llosa,Frank Welker,Eric Stoltz,Kari Wuhrer,Action Adventure Horror Thriller
1093,coyote ugly,David McNally,Adam Garcia,Tyra Banks,Izabella Miko,Comedy Drama Music Romance
1094,love actually,Richard Curtis,Colin Firth,Liam Neeson,Kris Marshall,Comedy Drama Romance
1095,a bug's life,John Lasseter,Kevin Spacey,Madeline Kahn,John Ratzenberger,Adventure Animation Comedy Family Fantasy
1097,the specialist,Luis Llosa,Sylvester Stallone,Rod Steiger,Emilio Estefan Jr.,Action Crime Drama Romance Thriller
1098,tin cup,Ron Shelton,Don Johnson,Cheech Marin,Rene Russo,Comedy Drama Romance Sport
1099,"yours, mine and ours",Melville Shavelson,Lucille Ball,Tom Bosley,Tim Matheson,Comedy Family
1100,kicking & screaming,Jesse Dylan,Josh Hutcherson,Will Ferrell,Robert Duvall,Comedy Family Romance Sport
1101,the hitchhiker's guide to the galaxy,Garth Jennings,Zooey Deschanel,Kelly Macdonald,Thomas Lennon,Adventure Comedy Sci-Fi
1102,fat albert,Joel Zwick,Dania Ramirez,Nick Zano,Alice Greczyn,Comedy Family Fantasy Romance
1103,resident evil: extinction,Russell Mulcahy,Milla Jovovich,Mike Epps,James Tumminia,Action Horror Sci-Fi Thriller
1104,blended,Frank Coraci,Bella Thorne,Adam Sandler,Joel McHale,Comedy Romance
1105,last holiday,Wayne Wang,LL Cool J,Alicia Witt,Timothy Hutton,Adventure Comedy Drama
1106,the river wild,Curtis Hanson,Meryl Streep,Glenn Morshower,William Lucking,Action Adventure Crime Thriller
1107,the indian in the cupboard,Frank Oz,Steve Coogan,Vincent Kartheiser,David Keith,Drama Family Fantasy
1108,savages,Oliver Stone,Demián Bichir,Shea Whigham,Gary Stretch,Crime Drama Thriller
1109,cellular,David R. Ellis,Richard Burgi,Valerie Cruz,Will Beinbrink,Action Crime Thriller
1110,johnny english,Peter Howitt,Kevin McNally,Natalie Imbruglia,Ben Miller,Action Adventure Comedy
1111,the ant bully,John A. Davis,Nicolas Cage,Meryl Streep,Julia Roberts,Adventure Animation Comedy Family Fantasy
1112,dune,David Lynch,Virginia Madsen,Jürgen Prochnow,José Ferrer,Action Adventure Sci-Fi
1114,revolutionary road,Sam Mendes,Leonardo DiCaprio,Kate Winslet,Joe Komara,Drama Romance
1115,16 blocks,Richard Donner,Bruce Willis,David Zayas,Sasha Roiz,Action Crime Drama Thriller
1116,babylon a.d.,Mathieu Kassovitz,Vin Diesel,Charlotte Rampling,David Belle,Action Adventure Sci-Fi Thriller
1117,the glimmer man,John Gray,Alexa PenaVega,Bob Gunton,Keenen Ivory Wayans,Action Comedy Crime Drama Thriller
1118,multiplicity,Harold Ramis,John de Lancie,Brian Doyle-Murray,Obba Babatundé,Comedy Romance Sci-Fi
1119,aliens in the attic,John Schultz,Malese Jow,Carter Jenkins,Tim Meadows,Adventure Comedy Family Fantasy Sci-Fi
1120,the pledge,Sean Penn,Costas Mandylor,Adrien Dorval,Nels Lennarson,Crime Drama Mystery Thriller
1121,the producers,Susan Stroman,Jon Lovitz,Will Ferrell,Matthew Broderick,Comedy Musical
1122,dredd,Pete Travis,Wood Harris,Jason Cope,Rakie Ayola,Action Sci-Fi
1123,the phantom,Simon Wincer,Cary-Hiroyuki Tagawa,Treat Williams,Kristy Swanson,Action Adventure Comedy Fantasy
1124,all the pretty horses,Billy Bob Thornton,Matt Damon,Henry Thomas,Sam Shepard,Drama Romance Western
1125,nixon,Oliver Stone,Anthony Hopkins,Bob Hoskins,Joan Allen,Biography Drama History
1126,the ghost writer,Roman Polanski,Jim Belushi,Olivia Williams,Timothy Hutton,Mystery Thriller
1127,deep rising,Stephen Sommers,Djimon Hounsou,Jason Flemyng,Wes Studi,Action Adventure Horror Sci-Fi
1128,miracle at st. anna,Spike Lee,Joseph Gordon-Levitt,Omari Hardwick,Laz Alonso,Action Crime Drama Thriller War
1129,curse of the golden flower,Yimou Zhang,Li Gong,Ye Liu,Man Li,Drama Romance
1130,bangkok dangerous,Danny Pang,Nicolas Cage,Charlie Yeung,James With,Action Crime Thriller
1131,big trouble,Barry Sonnenfeld,Zooey Deschanel,Janeane Garofalo,Omar Epps,Comedy Crime Thriller
1132,love in the time of cholera,Mike Newell,Marcela Mar,Giovanna Mezzogiorno,Unax Ugalde,Drama Romance
1133,the returned            ,unknown,Pierre Perrier,Clotilde Hesme,Céline Sallette,Drama Fantasy Horror Mystery
1134,shadow conspiracy,George P. Cosmatos,Sam Waterston,Ben Gazzara,Nicholas Turturro,Action Thriller
1135,johnny english reborn,Oliver Parker,Daniel Kaluuya,Tim McInnerny,Togo Igawa,Action Adventure Comedy Crime
1136,foodfight!,Lawrence Kasanoff,Jerry Stiller,Larry Miller,Harvey Fierstein,Action Animation Comedy Family Fantasy
1137,argo,Ben Affleck,Clea DuVall,Scoot McNairy,Tate Donovan,Biography Drama History Thriller
1138,the fugitive,Andrew Davis,Harrison Ford,Daniel Roebuck,Sela Ward,Action Adventure Crime Drama Mystery Thriller
1139,the bounty hunter,Andy Tennant,Gerard Butler,Dorian Missick,Peter Greene,Action Comedy Romance
1140,sleepers,Barry Levinson,Robert De Niro,Brad Pitt,Minnie Driver,Crime Drama Thriller
1141,rambo: first blood part ii,George P. Cosmatos,Sylvester Stallone,Julia Nickson,Martin Kove,Action Adventure Thriller War
1142,the juror,Brian Gibson,Joseph Gordon-Levitt,Demi Moore,Anne Heche,Drama Thriller
1143,pinocchio,Norman Ferguson,Mel Blanc,Dickie Jones,Cliff Edwards,Animation Family Fantasy Musical
1144,heaven's gate,Michael Cimino,Jeff Bridges,Sam Waterston,Isabelle Huppert,Adventure Drama Western
1145,underworld: evolution,Len Wiseman,Sophia Myles,Tony Curran,Derek Jacobi,Action Adventure Fantasy Sci-Fi Thriller
1147,finding forrester,Gus Van Sant,F. Murray Abraham,Rob Brown,Michael Nouri,Drama
1148,28 days,Betty Thomas,Steve Buscemi,Viggo Mortensen,Elizabeth Perkins,Comedy Drama
1149,unleashed,Louis Leterrier,Morgan Freeman,Jet Li,Bob Hoskins,Action Crime Drama Thriller
1150,the sweetest thing,Roger Kumble,Judith Chapman,Lillian Adams,Chelsea Bond,Comedy Romance
1151,the firm,Sydney Pollack,Tom Cruise,Holly Hunter,Wilford Brimley,Drama Mystery Thriller
1152,charlie st. cloud,Burr Steers,Augustus Prew,Charlie Tahan,Valerie Tian,Drama Fantasy Romance
1153,the mechanic,Simon West,Jason Statham,Tony Goldwyn,Mini Anden,Action Crime Thriller
1154,21 jump street,Phil Lord,Channing Tatum,Dax Flame,Rob Riggle,Action Comedy Crime
1155,notting hill,Roger Michell,Julia Roberts,Clarke Peters,Dylan Moran,Comedy Drama Romance
1156,chicken run,Peter Lord,Imelda Staunton,Miranda Richardson,Julia Sawalha,Adventure Animation Comedy Drama Family
1157,along came polly,John Hamburg,Philip Seymour Hoffman,Masi Oka,Debra Messing,Comedy Romance
1158,boomerang,Reginald Hudlin,John Witherspoon,Eartha Kitt,Geoffrey Holder,Comedy Drama Romance
1159,the heat,Paul Feig,Michael Rapaport,William Xifaras,Demián Bichir,Action Comedy Crime
1160,cleopatra,Joseph L. Mankiewicz,Martin Landau,Richard Burton,Roddy McDowall,Biography Drama History Romance
1161,here comes the boom,Frank Coraci,Salma Hayek,Reggie Lee,Charice,Action Comedy Sport
1162,high crimes,Carl Franklin,Morgan Freeman,Adam Scott,Bruce Davison,Crime Drama Mystery Thriller
1163,the mirror has two faces,Barbra Streisand,Jeff Bridges,Austin Pendleton,Mimi Rogers,Comedy Drama Romance
1164,the mothman prophecies,Mark Pellington,Debra Messing,Will Patton,David Eigenberg,Drama Horror Mystery Thriller
1165,brüno,Larry Charles,Bono,Elton John,Slash,Comedy
1166,licence to kill,John Glen,Robert Davi,Talisa Soto,Anthony Zerbe,Action Adventure Thriller
1167,red riding hood,Catherine Hardwicke,Gary Oldman,Billy Burke,Virginia Madsen,Fantasy Horror Mystery Thriller
1168,15 minutes,John Herzfeld,Robert De Niro,Charlize Theron,Kelsey Grammer,Action Crime Drama Thriller
1169,super mario bros.,Annabel Jankel,Bob Hoskins,Fisher Stevens,Fiona Shaw,Adventure Comedy Family Fantasy Sci-Fi
1170,lord of war,Andrew Niccol,Nicolas Cage,Jeremy Crutchley,Jared Burke,Crime Drama Thriller
1172,one for the money,Julie Anne Robinson,Fisher Stevens,Debbie Reynolds,Patrick Fischler,Action Comedy Crime Romance Thriller
1173,the interview,Evan Goldberg,James Franco,Randall Park,Anders Holm,Comedy
1174,the warrior's way,Sngmoo Lee,Tony Cox,Dong-gun Jang,Jed Brophy,Action Fantasy Western
1175,mchale's navy            ,unknown,Tim Conway,Gavin MacLeod,Bob Hastings,Comedy War
1176,micmacs,Jean-Pierre Jeunet,Omar Sy,Dany Boon,André Dussollier,Action Comedy Crime
1177,8 mile,Curtis Hanson,Mekhi Phifer,Omar Benson Miller,Evan Jones,Drama Music
1178,animal kingdom: let's go ape,Jamel Debbouze,Jamel Debbouze,Youssef Hajdi,Mélissa Theuriau,Adventure Animation Comedy Family
1179,a knight's tale,Brian Helgeland,Heath Ledger,Rufus Sewell,Bérénice Bejo,Action Adventure Romance
1180,the medallion,Gordon Chan,Julian Sands,Lee Evans,Anthony Chau-Sang Wong,Action Comedy Fantasy
1181,the sixth sense,M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Olivia Williams,Drama Mystery Thriller
1182,man on a ledge,Asger Leth,Robert Clohessy,Mandy Gonzalez,J. Smith-Cameron,Action Crime Thriller
1183,the big year,David Frankel,Joel McHale,Kevin Pollak,JoBeth Williams,Comedy
1185,american hustle,David O. Russell,Jennifer Lawrence,Christian Bale,Bradley Cooper,Crime Drama
1186,the proposal,Anne Fletcher,Ryan Reynolds,Denis O'Hare,Craig T. Nelson,Comedy Drama Romance
1187,double jeopardy,Bruce Beresford,Bruce Greenwood,Annabeth Gish,Bruce Campbell,Crime Mystery Thriller
1188,back to the future part ii,Robert Zemeckis,Lea Thompson,Jeffrey Weissman,Thomas F. Wilson,Adventure Comedy Sci-Fi
1189,lucy,Luc Besson,Scarlett Johansson,Morgan Freeman,Amr Waked,Action Sci-Fi Thriller
1190,fifty shades of grey,Sam Taylor-Johnson,Jennifer Ehle,Luke Grimes,Callum Rennie,Drama Romance
1191,spy kids 3-d: game over,Robert Rodriguez,Sylvester Stallone,Salma Hayek,Alexa PenaVega,Action Adventure Comedy Family Sci-Fi
1192,a time to kill,Joel Schumacher,Kevin Spacey,Matthew McConaughey,Oliver Platt,Crime Drama Thriller
1193,cheaper by the dozen,Shawn Levy,Tom Welling,Alyson Stoner,Bonnie Hunt,Comedy Family
1194,lone survivor,Peter Berg,Jerry Ferrara,Scott Elrod,Dan Bilzerian,Action Biography Drama Thriller War
1195,a league of their own,Penny Marshall,Tom Hanks,Lori Petty,Rosie O'Donnell,Comedy Drama Sport
1196,the conjuring 2,James Wan,Javier Botet,Frances O'Connor,Robin Atkin Downes,Horror Mystery Thriller
1197,the social network,David Fincher,Andrew Garfield,Dustin Fitzsimons,Marcella Lentz-Pope,Biography Drama
1198,he's just not that into you,Ken Kwapis,Carmen Perez,Sabrina Revelle,Sachiko Ishida,Comedy Drama Romance
1199,scary movie 4,David Zucker,Beau Mirchoff,Carmen Electra,Regina Hall,Comedy
1200,scream 3,Wes Craven,Kelly Rutherford,Roger Jackson,Nancy O'Dell,Horror Mystery
1201,back to the future part iii,Robert Zemeckis,Lea Thompson,Jeffrey Weissman,Thomas F. Wilson,Adventure Comedy Sci-Fi Western
1202,get hard,Etan Cohen,Will Ferrell,Alison Brie,Craig T. Nelson,Comedy Crime
1203,bram stoker's dracula,Francis Ford Coppola,Keanu Reeves,Anthony Hopkins,Gary Oldman,Fantasy Horror Romance
1204,julie & julia,Nora Ephron,Meryl Streep,Mary Lynn Rajskub,Vanessa Ferlito,Biography Drama Romance
1205,42,Brian Helgeland,Harrison Ford,Christopher Meloni,Nicole Beharie,Biography Drama Sport
1206,the talented mr. ripley,Anthony Minghella,Philip Seymour Hoffman,Matt Damon,Jack Davenport,Crime Drama Thriller
1207,dumb and dumber to,Bobby Farrelly,Bill Murray,Kathleen Turner,Rob Riggle,Comedy
1208,eight below,Frank Marshall,Paul Walker,Bruce Greenwood,Wendy Crewson,Adventure Drama Family
1209,the intern,Nancy Meyers,Robert De Niro,Anne Hathaway,Rene Russo,Comedy Drama
1210,ride along 2,Tim Story,Olivia Munn,Nadine Velazquez,Bruce McGill,Action Comedy
1211,the last of the mohicans,Michael Mann,Wes Studi,Terry Kinney,Eric Schweig,Action Adventure Drama Romance War
1212,ray,Taylor Hackford,Bokeem Woodbine,Curtis Armstrong,Harry Lennix,Biography Drama Music
1213,sin city,Frank Miller,Rosario Dawson,Powers Boothe,Jason Douglas,Crime Thriller
1214,vantage point,Pete Travis,Dennis Quaid,Edgar Ramírez,William Hurt,Crime Drama Mystery Thriller
1215,"i love you, man",John Hamburg,J.K. Simmons,Jon Favreau,Jane Curtin,Comedy Romance
1216,shallow hal,Bobby Farrelly,Jason Alexander,Bruce McGill,Susan Ward,Comedy Drama Fantasy Romance
1217,jfk,Oliver Stone,Sally Kirkland,Jay O. Sanders,Cheryl Penland,Drama History Thriller
1218,big momma's house 2,John Whitesell,Chloë Grace Moretz,Nia Long,Marisol Nichols,Comedy Crime
1219,the mexican,Gore Verbinski,J.K. Simmons,Brad Pitt,Julia Roberts,Adventure Comedy Crime Romance
1220,unbroken,Angelina Jolie Pitt,Finn Wittrock,Jack O'Connell,Alex Russell,Biography Drama Sport War
1221,17 again,Burr Steers,Matthew Perry,Hunter Parrish,Thomas Lennon,Comedy Drama Family Fantasy Romance
1222,the other woman,Nick Cassavetes,Don Johnson,Kate Upton,David Thornton,Comedy Romance
1223,the final destination,David R. Ellis,Krista Allen,Andrew Fiscella,Shantel VanSanten,Horror
1224,bridge of spies,Steven Spielberg,Tom Hanks,Mark Rylance,Amy Ryan,Drama History Thriller
1225,behind enemy lines,John Moore,Joaquim de Almeida,David Keith,Sam Jaeger,Action Drama Thriller War
1226,get him to the greek,Nicholas Stoller,Pink,Mario Lopez,Lino Facioli,Comedy Music
1227,shall we dance,Peter Chelsom,Lisa Ann Walter,Nick Cannon,Omar Benson Miller,Comedy Drama Romance
1228,small soldiers,Joe Dante,Kirsten Dunst,Denis Leary,Robert Picardo,Action Adventure Comedy Family Sci-Fi
1229,spawn,Mark A.Z. Dippé,Michael Jai White,Frank Welker,Miko Hughes,Action Horror
1230,the count of monte cristo,Kevin Reynolds,Henry Cavill,James Frain,Michael Wincott,Action Adventure Drama Romance Thriller
1231,the lincoln lawyer,Brad Furman,Matthew McConaughey,Margarita Levieva,Frances Fisher,Crime Drama Thriller
1233,the prestige,Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson,Drama Mystery Sci-Fi Thriller
1234,horrible bosses 2,Sean Anders,Kevin Spacey,Christoph Waltz,Lindsay Sloane,Comedy Crime
1235,escape from planet earth,Cal Brunker,Brendan Fraser,Paul Scheer,Jonathan Morgan Heit,Adventure Animation Comedy Family Sci-Fi
1236,apocalypto,Mel Gibson,Rudy Youngblood,Dalia Hernández,Jonathan Brewer,Action Adventure Drama Thriller
1237,the living daylights,John Glen,Joe Don Baker,Desmond Llewelyn,Art Malik,Action Adventure Thriller
1238,predators,Nimród Antal,Topher Grace,Alice Braga,Derek Mears,Action Adventure Sci-Fi Thriller
1239,legal eagles,Ivan Reitman,Brian Dennehy,Debra Winger,Roscoe Lee Browne,Comedy Crime Romance
1240,secret window,David Koepp,Johnny Depp,Charles S. Dutton,Timothy Hutton,Mystery Thriller
1241,the lake house,Alejandro Agresti,Keanu Reeves,Dylan Walsh,Ebon Moss-Bachrach,Drama Fantasy Romance
1242,the skeleton key,Iain Softley,Gena Rowlands,Deneen Tyler,Joy Bryant,Horror Mystery Thriller
1243,the odd life of timothy green,Peter Hedges,Jennifer Garner,Odeya Rush,Common,Comedy Drama Family Fantasy
1244,made of honor,Paul Weiland,Busy Philipps,Beau Garrett,Kevin Sussman,Comedy Romance
1245,jersey boys,Clint Eastwood,Johnny Cannizzaro,Steve Schirripa,Scott Vance,Biography Drama Music Musical
1246,the rainmaker,Francis Ford Coppola,Matt Damon,Dean Stockwell,Virginia Madsen,Crime Drama Thriller
1247,gothika,Mathieu Kassovitz,Robert Downey Jr.,Charles S. Dutton,Bernard Hill,Horror Mystery Thriller
1248,amistad,Steven Spielberg,Anthony Hopkins,Morgan Freeman,Matthew McConaughey,Drama History
1249,medicine man,John McTiernan,Lorraine Bracco,José Wilker,Sean Connery,Adventure Drama Romance
1250,aliens vs. predator: requiem,Colin Strause,Sam Trammell,Johnny Lewis,Ian Whyte,Action Horror Sci-Fi Thriller
1251,ri¢hie ri¢h,Donald Petrie,Macaulay Culkin,John Larroquette,Jonathan Hyde,Comedy Family
1252,autumn in new york,Joan Chen,J.K. Simmons,Sam Trammell,Elaine Stritch,Drama Romance
1253,music and lyrics,Marc Lawrence,Brad Garrett,Scott Porter,Haley Bennett,Comedy Music Romance
1254,paul,Greg Mottola,Bobby Lee,Nelson Ascencio,Jeremy Owen,Adventure Comedy Sci-Fi
1255,the guilt trip,Anne Fletcher,Miriam Margolyes,Tom Virtue,Julene Renee,Comedy Drama
1256,scream 4,Wes Craven,Alison Brie,Aimee Teegarden,Shenae Grimes-Beech,Horror Mystery
1257,8mm,Joel Schumacher,Nicolas Cage,Chris Bauer,Anthony Heald,Mystery Thriller
1258,the doors,Oliver Stone,Michael Wincott,Kevin Dillon,Kathleen Quinlan,Biography Drama Music Musical
1259,sex tape,Jake Kasdan,James Wilcox,Randall Park,Nat Faxon,Comedy
1260,hanging up,Diane Keaton,Adam Arkin,Celia Weston,Jesse James,Comedy Drama
1261,final destination 5,Steven Quale,Emma Bell,Jacqueline MacInnes Wood,Courtney B. Vance,Horror
1262,mickey blue eyes,Kelly Makin,Jeanne Tripplehorn,Burt Young,Vincent Pastore,Comedy Crime Romance
1263,pay it forward,Mimi Leder,Kevin Spacey,Haley Joel Osment,Angie Dickinson,Drama
1264,fever pitch,Bobby Farrelly,Jimmy Fallon,KaDee Strickland,Ione Skye,Comedy Drama Romance Sport
1265,arthur            ,unknown,Bruce Dinsmore,Melissa Altro,Daniel Brochu,Animation Comedy Family
1266,drillbit taylor,Steven Brill,Lisa Ann Walter,Shaun Weiss,Matt Walsh,Comedy Drama
1267,a million ways to die in the west,Seth MacFarlane,Liam Neeson,Charlize Theron,Seth MacFarlane,Comedy Western
1268,the shadow,Russell Mulcahy,Jonathan Winters,Peter Boyle,John Kapelos,Action Adventure Crime Fantasy Mystery Thriller
1269,extremely loud & incredibly close,Stephen Daldry,Tom Hanks,Thomas Horn,Stephen Henderson,Adventure Drama Mystery
1270,morning glory,Roger Michell,Noah Bean,Patti D'Arbanville,Vanessa Aspillaga,Comedy Drama Romance
1271,get rich or die tryin',Jim Sheridan,50 Cent,Bill Duke,Marc John Jefferies,Biography Crime Drama Music
1272,the art of war,Christian Duguay,Michael Biehn,Cary-Hiroyuki Tagawa,Anne Archer,Action Adventure Crime Thriller
1273,rent,Chris Columbus,Rosario Dawson,David Fine,Jesse L. Martin,Drama Musical Romance
1274,bless the child,Chuck Russell,Rufus Sewell,Jimmy Smits,Angela Bettis,Crime Drama Horror Thriller
1275,the out-of-towners,Sam Weisman,Oliver Hudson,Valerie Perri,Carlease Burke,Comedy
1276,the island of dr. moreau,John Frankenheimer,Marlon Brando,Temuera Morrison,Marco Hofschneider,Horror Sci-Fi Thriller
1277,the musketeer,Peter Hyams,Catherine Deneuve,Justin Chambers,Stephen Rea,Action Adventure Romance
1278,the other boleyn girl,Justin Chadwick,Natalie Portman,Scarlett Johansson,Benedict Cumberbatch,Biography Drama History Romance
1279,sweet november,Pat O'Connor,Keanu Reeves,Charlize Theron,Frank Langella,Drama Romance
1280,the reaping,Stephen Hopkins,Stephen Rea,Andrea Frankle,William Ragsdale,Horror Thriller
1281,mean streets,Martin Scorsese,Robert De Niro,David Carradine,David Proval,Crime Drama Romance Thriller
1282,renaissance man,Penny Marshall,Ed Begley Jr.,Cliff Robertson,Lillo Brancato,Comedy Drama
1283,colombiana,Olivier Megaton,Jordi Mollà,Callum Blue,Jesse Borrego,Action Crime Drama Thriller
1284,the magic sword: quest for camelot,Frederik Du Chau,Gary Oldman,Jaleel White,Eric Idle,Adventure Animation Comedy Drama Family Fantasy Musical
1285,city by the sea,Michael Caton-Jones,Robert De Niro,James Franco,John Doman,Crime Drama Mystery Thriller
1286,at first sight,Irwin Winkler,Mira Sorvino,Nathan Lane,Steven Weber,Drama Romance
1287,torque,Joseph Kahn,Dane Cook,Jay Hernandez,Christina Milian,Action Comedy Crime
1288,city hall,Harold Becker,Al Pacino,Martin Landau,Bridget Fonda,Drama Thriller
1289,showgirls,Paul Verhoeven,Bobbie Phillips,Elizabeth Berkley,Robert Davi,Drama
1290,marie antoinette,Sofia Coppola,Kirsten Dunst,Shirley Henderson,Rip Torn,Biography Drama History Romance
1291,kiss of death,Barbet Schroeder,Nicolas Cage,Michael Rapaport,Philip Baker Hall,Action Crime Thriller
1292,get carter,Stephen Kay,Sylvester Stallone,Miranda Richardson,Lauren Lee Smith,Action Crime Drama Thriller
1293,the impossible,J.A. Bayona,Naomi Watts,Geraldine Chaplin,Oaklee Pendergast,Drama Thriller
1294,ishtar,Elaine May,Carol Kane,Warren Beatty,Isabelle Adjani,Action Adventure Comedy Music Thriller
1295,fantastic mr. fox,Wes Anderson,Bill Murray,Meryl Streep,Helen McCrory,Adventure Animation Comedy Crime Family
1296,life or something like it,Stephen Herek,Angelina Jolie Pitt,Stockard Channing,James Gammon,Comedy Romance
1297,memoirs of an invisible man,John Carpenter,Richard Epcar,Michael McKean,Patricia Heaton,Comedy Romance Sci-Fi Thriller
1298,amélie,Jean-Pierre Jeunet,Mathieu Kassovitz,Jamel Debbouze,Isabelle Nanty,Comedy Romance
1299,new york minute,Dennie Gordon,Mary-Kate Olsen,Bob Saget,Riley Smith,Comedy Crime Family Romance
1300,alfie,Charles Shyer,Omar Epps,Nia Long,Jane Krakowski,Comedy Drama Romance
1301,big miracle,Ken Kwapis,Ted Danson,Tim Blake Nelson,Andrew Daly,Biography Drama Romance
1302,the deep end of the ocean,Ulu Grosbard,Alexa PenaVega,Treat Williams,Jonathan Jackson,Drama
1303,feardotcom,William Malone,Natascha McElhone,Jeffrey Combs,Udo Kier,Crime Horror Thriller
1304,cirque du freak: the vampire's assistant,Paul Weitz,Josh Hutcherson,Salma Hayek,Patrick Fugit,Action Adventure Fantasy Thriller
1306,duplex,Danny DeVito,Justin Theroux,Amber Valletta,Harvey Fierstein,Comedy
1307,soul men,Malcolm D. Lee,Bernie Mac,Sean Hayes,Mike Epps,Comedy Drama Music
1308,raise the titanic,Jerry Jameson,M. Emmet Walsh,Jason Robards,Anne Archer,Action Adventure Drama Thriller
1309,universal soldier: the return,Mic Rodgers,Michael Jai White,Daniel von Bargen,Xander Berkeley,Action Sci-Fi
1310,pandorum,Christian Alvart,Norman Reedus,Dennis Quaid,Eddie Rouse,Action Horror Mystery Sci-Fi Thriller
1311,impostor,Gary Fleder,Gary Dourdan,Mekhi Phifer,Tim Guinee,Drama Mystery Sci-Fi Thriller
1312,extreme ops,Christian Duguay,Rufus Sewell,Bridgette Wilson-Sampras,Rupert Graves,Action Adventure Thriller
1313,just visiting,Jean-Marie Poiré,Bridgette Wilson-Sampras,Matt Ross,John Aylward,Comedy Fantasy Sci-Fi
1314,sunshine,Danny Boyle,Chris Evans,Benedict Wong,Troy Garity,Adventure Sci-Fi Thriller
1315,a thousand words,Brian Robbins,John Gatins,Lou Saliba,Greg Collins,Comedy Drama
1316,delgo,Marc F. Adler,Eric Idle,Anne Bancroft,Kelly Ripa,Adventure Animation Comedy Fantasy Romance
1317,the gunman,Pierre Morel,Ray Winstone,Mark Rylance,Jasmine Trinca,Action Crime Drama Mystery Thriller
1318,alex rider: operation stormbreaker,Geoffrey Sax,Alex Pettyfer,Sophie Okonedo,Ashley Walters,Action Adventure Family Thriller
1320,hackers,Iain Softley,Angelina Jolie Pitt,Fisher Stevens,Lorraine Bracco,Comedy Crime Drama Thriller
1321,the hunting party,Richard Shepard,James Brolin,Zan Marolt,Ljubomir Kerekes,Adventure Comedy Drama Romance Thriller War
1322,the hudsucker proxy,Joel Coen,Jennifer Jason Leigh,Bill Cobbs,John Mahoney,Comedy Fantasy
1323,the warlords,Peter Ho-Sun Chan,Jet Li,Takeshi Kaneshiro,Andy Lau,Action Drama History Romance War
1324,nomad: the warrior,Sergey Bodrov,Jay Hernandez,Kuno Becker,Jason Scott Lee,Drama History War
1325,snowpiercer,Joon-ho Bong,Chris Evans,Ewen Bremner,Kang-ho Song,Action Drama Sci-Fi Thriller
1326,a monster in paris,Bibo Bergeron,Adam Goldberg,Bob Balaban,François Cluzet,Adventure Animation Comedy Fantasy Music Romance
1327,the last shot,Jeff Nathanson,Matthew Broderick,Glenn Morshower,Tim Blake Nelson,Comedy
1328,the crow,Alex Proyas,Michael Wincott,Bai Ling,David Patrick Kelly,Action Drama Fantasy
1329,baahubali: the beginning,S.S. Rajamouli,Tamannaah Bhatia,Anushka Shetty,Prabhas,Action Adventure Drama Fantasy War
1330,the time traveler's wife,Robert Schwentke,Arliss Howard,Brooklynn Proulx,Michelle Nolden,Drama Fantasy Romance Sci-Fi
1331,because i said so,Michael Lehmann,Colin Ferguson,Stephen Collins,Tom Everett Scott,Comedy Romance
1332,the fast and the furious,Rob Cohen,Paul Walker,Vin Diesel,Jordana Brewster,Action Crime Thriller
1333,frankenweenie,Tim Burton,Martin Landau,Catherine O'Hara,Atticus Shaffer,Animation Comedy Family Horror Sci-Fi
1334,serenity,Joss Whedon,Adam Baldwin,Sean Maher,Michael Hitchcock,Action Adventure Sci-Fi Thriller
1335,against the ropes,Charles S. Dutton,Omar Epps,Charles S. Dutton,Tim Daly,Biography Drama Romance Sport
